"Construct","Variables","Model role"
"Respondent identifier","R0000100","Panel/person linkage"
"Sex","R0214800","Control"
"Race/ethnicity","R0214700","Control"
"Marital status","R0217501, R0405601, R0618601, R0898401, R1144901, R1520101, R1890801, R2257901, R2445301, R2871000, R3074700, R3401400, R3656800, R4007300, R4418400, R5081400, R5166700, R6479300, R7007000, R7704300, R8496700, T0988500, T2210500, T3108400, T4112900, T5023300, T5771200, T8219300, T8788500, T9300300","Outcome for marital-stability model"
"Emergency savings","T4100000, T5005400, T5739900, T8187000, T9260200","Primary predictor for marital-stability model"
"Financial-literacy objective items","T4100300, T4100400, T4100500, T4100600, T4100700, T5005700, T5005800, T5005900, T5006000, T5006100, T5740200, T5740300, T5740400, T5740500, T5740600, T8187300, T8187400, T8187500, T8187600, T8187700","Primary predictor for completed-fertility model"
"Completed fertility","R0898837, R1146829, R1522036, R1892736, R2259836, R2448036, R2877500, R3407600, R3659046, R4009446, R4444600, R5087400, R5172700, R6486300, R7014100, R7711700, R8504200, R9908000, T0995900, T2217700, T3115700, T4120200, T5031400, T5779600, T8226700, T8796000, T9307800","Outcome for completed-fertility models"
"First child date of birth","R9900001, R9900002","Outcome construction for first-birth timing model"
"Birth-control education exposure","R1314200, R1314400, R1314500, R1314600, R1381800, R1382000, R1382100, R1382200","Primary predictor for fertility and timing models"
"Education","R0216701, R0406401, R0618901, R0898201, R1145001, R1520201, R1890901, R2258001, R2445401, R2871101, R3074801, R3401501, R3656901, R4007401, R4418501, R5103900, R5166901, R6479600, R7007300, R7704600, R8497000, T0988800, T2210700, T3108600, T4113100, T5023500, T5771400, T9900000","Control"
